Latitude,Longitude,Year,Month,Ocean,Sample_Method,Concentration_pieces_m3,Risk_Label
6.84,-149.44,2005,4,Pacific Ocean,Neuston net,0.0,Low
14.71,-157.43,2012,7,Pacific Ocean,Neuston net,0.0,Low
45.1215,-9.773833,2019,6,Atlantic Ocean,Manta net,0.053377,Low
43.063,5.8787,2010,7,Atlantic Ocean,Neuston net,0.0,Low
42.611,8.7088,2013,7,Atlantic Ocean,Manta net,1.14324,High
44.218833,14.168,2021,6,Atlantic Ocean,Manta net,3.203462,High
56.570583,-142.849833,2019,2,Pacific Ocean,Neuston net,0.013169,Low
60.291167,-0.618333,2021,1,Atlantic Ocean,Neuston net,0.0,Low
40.25,-66.03,1995,5,Atlantic Ocean,Neuston net,0.012344,Low
35.13,-60.98,2002,10,Atlantic Ocean,Neuston net,0.01512,Low
41.791667,9.503333,2011,9,Atlantic Ocean,Manta net,1.013376,High
41.175724,1.526081,2021,3,Atlantic Ocean,Manta net,0.436,High
32.62,-64.7,1996,5,Atlantic Ocean,Neuston net,0.079912,Low
35.07,-65.48,1996,5,Atlantic Ocean,Neuston net,0.26782,High
41.1,-68.92,1992,9,Atlantic Ocean,Neuston net,0.0,Low
40.25,-70.15,1992,10,Atlantic Ocean,Neuston net,0.097164,High
32.84,-147.81,2009,10,Pacific Ocean,Neuston net,0.0,Low
32.0309,-139.9165,2009,8,Pacific Ocean,Manta net,0.945,High
34.8762,-145.52865,2015,8,Pacific Ocean,Manta net,1.743582,High
32.8454,-118.3583,2015,3,Pacific Ocean,Grab sample,0.001,Low
24.1,-58.43,1999,11,Atlantic Ocean,Neuston net,0.00432,Low
24.34,-56.42,2005,10,Atlantic Ocean,Neuston net,0.005716,Low
25.25,-68.2,1999,2,Atlantic Ocean,Neuston net,0.0,Low
25.32,-68.45,1999,2,Atlantic Ocean,Neuston net,0.043196,Low
24.86,-74.17,2003,2,Atlantic Ocean,Neuston net,0.0,Low
24.63,-75.42,1999,4,Atlantic Ocean,Neuston net,0.019936,Low
27.14,-60.1,1996,10,Atlantic Ocean,Neuston net,0.035096,Low
22.6,-60.0,1995,11,Atlantic Ocean,Neuston net,0.00926,Low
26.12,-78.53,1992,4,Atlantic Ocean,Neuston net,0.0,Low
27.8493,-82.4314,2016,12,Atlantic Ocean,Plankton net,5.8,High
27.7084,-82.6092,2017,6,Atlantic Ocean,Van Dorn sampler,0.0,Low
27.7084,-82.6092,2017,4,Atlantic Ocean,Plankton net,3.4,High
19.04,-59.72,1999,11,Atlantic Ocean,Neuston net,0.00432,Low
14.0,-59.0,2014,12,Atlantic Ocean,Grab sample,0.012,Low
18.7792,-47.456,2014,12,Atlantic Ocean,Grab sample,0.006,Low
22.11,-141.71,2006,7,Pacific Ocean,Neuston net,0.0,Low
25.94,-146.58,2011,6,Pacific Ocean,Neuston net,0.326132,High
26.16,-77.85,2003,2,Atlantic Ocean,Neuston net,0.0,Low
17.11,-77.03,2006,4,Atlantic Ocean,Neuston net,0.0027,Low
16.24,-81.2,1992,3,Atlantic Ocean,Neuston net,0.0,Low
16.72,-83.78,1987,3,Atlantic Ocean,Neuston net,0.00432,Low
17.66,-86.0,2002,4,Atlantic Ocean,Neuston net,0.02376,Low
14.47,-62.6,1992,12,Atlantic Ocean,Neuston net,0.00648,Low
17.35,-60.2,1995,11,Atlantic Ocean,Neuston net,0.00864,Low
-26.3318,-115.7358,2011,4,Pacific Ocean,Neuston net,0.0,Low
-33.1342,-81.2382,2011,3,Pacific Ocean,Manta net,0.992036,High
5.79,-147.72,2009,7,Pacific Ocean,Neuston net,0.0,Low
3.85,-143.98,2002,3,Pacific Ocean,Neuston net,0.0,Low
1.09,-142.01,2002,3,Pacific Ocean,Neuston net,0.0,Low
19.8,-143.03,2008,5,Pacific Ocean,Neuston net,0.0,Low
36.3728,-153.6528,2015,8,Pacific Ocean,Manta net,1.550254,High
15.94,-162.49,2008,11,Pacific Ocean,Neuston net,0.0,Low
55.9465,-2.1475,2020,1,Atlantic Ocean,Neuston net,0.042147,Low
56.376517,10.94445,2019,10,Atlantic Ocean,Manta net,0.024366,Low
6.84,-149.44,2004,12,Pacific Ocean,Neuston net,0.0,Low
19.13,-154.67,2003,4,Pacific Ocean,Neuston net,0.0,Low
22.0,-149.9,2014,7,Pacific Ocean,Grab sample,0.036,Low
33.1,-149.63,2005,5,Pacific Ocean,Neuston net,0.00216,Low
42.9385,6.343833,2018,7,Atlantic Ocean,Manta net,0.236481,High
43.168167,10.2515,2021,7,Atlantic Ocean,Manta net,0.813379,High
50.402217,1.145633,2020,11,Atlantic Ocean,Manta net,0.114039,High
